Name,Synonyms,SMILES
Pyridine,"PYRIDINE|Azabenzene|110-86-1|Pyridin|Piridina|Pirydyna|RCRA waste number U196|Caswell No. 717|NCI-C55301|FEMA No. 2966|FEMA Number 2966|CCRIS 2926|HSDB 118|CHEBI:16227|CP 32|EINECS 203-809-9|NSC 406123|UNII-NH9L3PP67S|NH9L3PP67S|EPA Pesticide Chemical Code 069202|DTXSID9021924|AI3-01240|NSC-141574|NSC-406123|DTXCID101924|EC 203-809-9|PYRIDINE (IARC)|PYRIDINE [IARC]|PYRIDINE (USP-RS)|PYRIDINE [USP-RS]|CEFTAZIDIME IMPURITY F (EP IMPURITY)|CEFTAZIDIME IMPURITY F [EP IMPURITY]|CEFTAZIDIME PENTAHYDRATE IMPURITY F (EP IMPURITY)|CEFTAZIDIME PENTAHYDRATE IMPURITY F [EP IMPURITY]|Pesticide Code: 069202|203-809-9|pyridine (acgih:osha)|Azine|Pyridin [German]|Pirydyna [Polish]|Piridina [Italian]|pyridine-ring|pyridine-|MFCD00011732|Pyridine [UN1282]  [Flammable liquid]|PYRIDINE (15N)|Pyridine, ACS reagent, >=99.0%|Pyridine, ReagentPlus(R), >=99%|UN1282|RCRA waste no. U196|hydropyridine|N-pyridine|pyridine fraction|3-pyridinyl|[pyridine]|2-pyridine|4-pyridine|Pyridine II|Pyridine III|3-Pyridine|Azabenzene; Azine|Pyridine 1 Degree|0PY|Pyridine, anhydrous|Pyridine, super dry|Pyridine, 99%|Pyridine, ACS grade|Pyridine, ACS reagent|Pyridine, >=99%|Pyridine, HPLC Grade|PYRIDINE [FHFI]|PYRIDINE [HSDB]|PYRIDINE [MI]|bmse000432|Epitope ID:140099|WLN: T6NJ|Pyridine, p.a., 99%|NCIOpen2_002809|NCIOpen2_007786|NCIOpen2_007866|NCIOpen2_007986|NCIOpen2_007999|Pyridine, LR, >=99%|Pyridine, analytical standard|Pyridine, anhydrous, 99.8%|CHEMBL266158|Pyridine, AR, >=99.5%|Pyridine, >=99.5% (GC)|DTXSID101318102|BCP23599|Pyridine, for HPLC, >=99.9%|Tox21_200960|BDBM50176909|NSC141574|NSC406123|Pyridine, anhydrous Water 30ppm Max|STL264195|AKOS000120998|MSK001822-100M|Pyridine, biotech. grade, >=99.9%|UN 1282|NCGC00091476-01|NCGC00091476-02|NCGC00258513-01|Pyridin Solution in Methanol, 100ug/mL|Pyridine, SAJ first grade, >=99.0%|BP-13452|CAS-110-86-1|NCI60_006101|Pyridine, JIS special grade, >=99.5%|Pyridine, p.a., ACS reagent, 99.0%|Pyridine, purification grade, >=99.75%|DB-220141|Pyridine, spectrophotometric grade, >=99%|NS00010113|Q0034|EN300-17264|C00747|A802257|Q210385|InChI=1/C5H5N/c1-2-4-6-5-3-1/h1-5|F0001-0227|Pyridine, puriss. p.a., ACS reagent, >=99.8% (GC)|Pyridine, suitable for hydroxyl value determination, >=99.5%|Pyridine; Azabenzene; Azine; CP 32; NSC 141574; NSC 406123|Pyridine, Pharmaceutical Secondary Standard; Certified Reference Material|Pyridine, puriss. p.a., ACS reagent, reag. Ph. Eur., >=99.5% (GC)|0.25 M Hyacinth BMT solution BMT in anhydrous Acetonitrile, NC-0102 emp Biotech GmbH|Pyridine, puriss., absolute, over molecular sieve (H2O <=0.005%), >=99.8% (GC)|Pyridine, puriss., Reag. Ph. Eur., dried, >=99.5% (GC), <=0.0075% water|Solvent Mix Pyridine in ACN (V / V = 60 : 40) NC-0612, GL45 thread emp Biotech GmbH|29761-81-7|Pyridine for oligo synthesis (Water content < 30 ppm) NC-0604 2.5 L GL45 thread emp Biotech GmbH",C1=CC=NC=C1
3-(1-Methylpyrrolidin-2-yl)pyridine,"3-(1-methylpyrrolidin-2-yl)pyridine|DL-Nicotine|DTXSID3048154|CHEBI:138000|3-[1-Methylpyrrolidin-2-yl]pyridine|DTXCID9028128|623-834-2|(+-)nicotine|22083-74-5|(+/-)-Nicotine|(R,S)-Nicotine|Black leaf|Pyridine, 3-(1-methyl-2-pyrrolidinyl)-|(RS)-Nicotine|Black Leaf 40|(+-)-Nicotine|rac-Nicotine|75202-10-7|(+/-)NICOTINE|CHEMBL440464|NSC5065|(+/-)-3-(1-Methyl-2-pyrrolidinyl)pyridine|(S)-(-)-Nicotine-d4|destruxol|DL-tetrahydronicotyrine|SMR000471862|1219805-86-3|Nicotine, (+-)-|[3H]NICOTINE|methyl-2-pyrrolidinyl)pyridine|racemic nicotine|1-methyl-2-(3-pyridal)-pyrrolidene|Flux Maay|Nicotine, liquid|niagara p.a.|Nicotine, racemic; (R,S)-Nicotine; 1-Methyl-2-(3-pyridyl)pyrrolidine; 3-(1-Methyl-2-pyrrolidinyl)pyridine; DL-Nicotine|Nicotine-(+)|Ortho N-4|Ortho N-5|BRN 0082111|(+/-)-Nicotine-d3|Nicotine (not validated)|(+-)-3-(1-Methyl-2-pyrrolidinyl)pyridine|Tetrahydronicotyrine, DL-|SCHEMBL20193|MLS001066400|MLS001332491|GTPL3978|XL All Insecti-cide, Emo-Nib|SCHEMBL11976729|US8609708, 54 Nicotine|GLXC-19133|HMS2267D10|HMS3373A19|JLA68507|UCA98024|UYB80586|WLN: T6NJ C- BT5NTJ A1|BBL028104|BDBM50004108|STL146319|1-methyl-2-(3-pyridyl) pyrrolidine|AKOS005720800|AB05474|VS-0124|NCGC00161830-01|BP-13421|.beta.-Pyridyl-.alpha.-N-methylpyrrolidine|DB-045786|DB-052483|(+/-)-Nicotine, >=99% (TLC), liquid|NS00125361|3-(tetrahydro-1-methyl pyrrol-2-yl)Pyridine|EN300-123020|Q12144|(+/-)-Nicotine-d7 (N-methyl-d3 pyridine-d4)|AB00919090_06|BRD-A93695607-322-01-7|BRD-A93695607-322-02-5",CN1CCCC1C2=CN=CC=C2
2-(2-Aminoethyl)pyridine,"2-(2-Aminoethyl)pyridine|2706-56-1|2-Pyridylethylamine|2-(2-Pyridyl)ethylamine|2-Pyridineethanamine|2-(pyridin-2-yl)ethanamine|Demethylbetahistine|alpha-Pyridylethylamine|Pyridine, 2-(2-aminoethyl)-|Lilly 04432|2-(2'-Aminoethyl)pyridine|.alpha.-Pyridylethylamine|2-(2-Pyridinyl)ethanamine|NSC 71989|ATW1AH7OJ5|2-(2-aminoethyl)-pyridine|EINECS 220-295-1|.alpha.-(2-Aminoethyl)pyridine|CHEBI:74024|NSC-71989|DTXSID5022196|2'-AMINOETHYL-2-PYRIDINE|N-(2-(2-PYRIDINYL)ETHYL)AMINE|Lilly-04432|2-(beta-Aminoethyl)pyridine|LY 04432|DTXCID502196|ALPHA-(2-AMINOETHYL)PYRIDINE|220-295-1|2-pyridin-2-ylethanamine|2-(pyridin-2-yl)ethan-1-amine|2-AMINOETHYLPYRIDINE|MFCD00006367|2-(.beta.-Aminoethyl)pyridine|Pyridineethanamine|SMR000059100|UNII-ATW1AH7OJ5|2-(Pyridin-2-yl)ethylamine|pyridylethylamine|(2-PYRIDIN-2-YLETHYL)AMINE|(2-aminoethyl)pyridine|2-2-aminoethylpyridine|2-(Aminoethyl)pyridine|2(2-aminoethyl)pyridine|2-pyridin-2-ylethylamine|2-(2-pyridinyl)ethylamine|2-(2-pyridyl)ethyl amine|2-Pyridin-2-yl-ethylamine|2-(2-amino-ethyl)pyridine|2-(2-aminoethyl) pyridine|(2-pyridin-2-yl)ethylamine|2-(2-pyridinyl)ethyl amine|2-pyridin-2-yl-ethyl amine|SCHEMBL42445|2-(beta-aminoethyl)-pyridine|2-(pyridine-2-yl)ethanamine|MLS000028902|MLS001424141|CHEMBL32813|[2-(2-pyridinyl)ethyl]amine|2-(pyridine-2-yl) ethanamine|GTPL1197|(2-pyridin-2-yl-ethyl)-amine|BDBM22865|XPQIPUZPSLAZDV-UHFFFAOYSA-|2-(2-Pyridyl)ethylamine, 95%|HMS1744P10|HMS2051L22|HMS3393L22|ALBB-006016|NSC71989|STR01672|AB1583|GEO-00125|PDSP1_000147|PDSP2_000146|STK503671|AKOS000120464|AB00732|CCG-101068|CS-W005000|NC00318|NCGC00159581-01|AC-15573|PD003182|TS-01623|DB-047151|A1999|NS00015121|EN300-20439|L000065|Q4596923|BRD-K17874705-300-01-6|BRD-K17874705-300-02-4|BRD-K17874705-300-03-2|Z104478200|2-Aminoethylpyridine; 2-Pyridineethanamine;2-(2-Pyridyl)ethylamine|InChI=1/C7H10N2/c8-5-4-7-3-1-2-6-9-7/h1-3,6H,4-5,8H2",C1=CC=NC(=C1)CCN
Pyridine-2-Carbaldehyde,"2-Pyridinecarboxaldehyde|Picolinaldehyde|1121-60-4|Pyridine-2-carbaldehyde|2-Formylpyridine|Pyridine-2-aldehyde|Picolinal|2-Picolinaldehyde|2-Pyridaldehyde|o-Nicotinaldehyde|Picolinic aldehyde|2-Picolinealdehyde|2-Pyridylaldehyde|2-Pyridylcarboxaldehyde|2-Pyridinecarbaldehyde|alpha-Picolinaldehyde|2-pyridylformaldehyde|.alpha.-Picolinaldehyde|NSC 8951|KH86K8FHZ2|CHEBI:73012|NSC-8951|EINECS 214-333-6|AI3-33230|DTXSID1061522|EC 214-333-6|2Formylpyridine|oNicotinaldehyde|2Pyridaldehyde|2Picolinaldehyde|2Pyridylaldehyde|2Picolinealdehyde|Pyridine2aldehyde|2pyridylcarboxaldehyde|2pyridinecarboxaldehyde|Picolinaldehyde (8CI)|DTXCID3033276|214-333-6|inchi=1/c6h5no/c8-5-6-3-1-2-4-7-6/h1-5|Pyridine-2-carboxaldehyde|Pyridinecarboxaldehyde|26445-06-7|2-Pyridine carboxaldehyde|MFCD00006290|2-formyl-pyridine|2-Pyridinealdehyde|pyridine, 2-formyl-|formylpyridine|picolinealdehyde|picolin aldehyde|carbonyl-pyridine|picoline aldehyde|pyridine aldehyde|2-formyl pyridine|Pyridinecarbaldehyde|2-Pyridinecarboxaldehyde; 2-Formylpyridine; 2-Picolinaldehyde; 2-Pyridaldehyde; Picolinic Aldehyde; Pyridine-2-aldehyde|pyridincarboxaldehyde|2-pyridine aldehyde|2-pyridylcarbaldehyde|pyridine-carboxaldehyde|2-pyridinecarboaldehyde|2-pyridinecarboxaldeyde|pyridin-2-carbaldehyde|pyridin-2-yl-methanone|pyridine-2 carbaldehyde|pyridine-2-formaldehyde|pyridine2-carboxaldehyde|2-pyridyl carboxaldehyde|2-pyridyl-carboxaldehyde|(pyridin-2-yl)methanone|2-pyridine-carboxaldehyde|pyridine 2-carboxaldehyde|UNII-KH86K8FHZ2|SCHEMBL55278|SCHEMBL730714|2-Pyridinecarboxaldehyde, 99%|CHEMBL274794|PYRIDIN-2-CARBOXALDEHYDE|2-Formylpyridine, Picolinaldehyde|NSC8951|Picolinaldehyde;Pyridine-2-aldehyde|BCP21804|BBL027574|STL146657|AKOS000119317|AB00680|AC-5098|CS-W007336|FP05593|PS-9301|DB-015971|NS00005186|P0425|EN300-18999|A20908|D77679|doi:10.14272/CSDSSGBPEUDDEE-UHFFFAOYSA-N.1|Q4596887|F2190-0594|Z104472152|Picolinaldehyde; 2-Pyridinecarbaldehyde; Pyridine-2-aldehyde",C1=CC=NC(=C1)C=O
3-(1-Nitrosopyrrolidin-2-yl)pyridine,"3-(1-nitrosopyrrolidin-2-yl)pyridine|3-(1-Nitroso-2-pyrrolidinyl)pyridine|DTXSID60860182|DTXCID60209118|635-203-9|nocas_860182|80508-23-2|rac-N'-Nitroso Nornicotine|CHEBI:80502|53759-22-1|NNN|rac-N'-Nitroso Nornicotine (1.0 mg/mL in Acetonitrile)|rac N'-Nitrosonornicotine|N-Nitrosonornicotine; rac-N'-Nitroso Nornicotine|84237-38-7|rac-N'-Nitroso Nornicotine (1.0 mg/mL in Methanol)|Nitrosonornikotin|Nornicotine, N-nitroso|N inverted exclamation marka-Nitrosonornicotine|CHEMBL434108|SCHEMBL12894032|XKABJYQDMJTNGQ-UHFFFAOYSA-N|AKOS006282074|NCGC00163363-01|N'-Nitrosonornicotine, analytical standard|NS00115920|G78178|EN300-5190682|N-Nitrosonornicotine 100 microg/mL in Acetonitrile",C1CC(N(C1)N=O)C2=CN=CC=C2
2-(3-Phenylpropyl)Pyridine,"2-(3-Phenylpropyl)Pyridine|Pyridine, 2-(3-phenylpropyl)-|cortex pyridine|FEMA No. 3751|9F0BFM744F|alpha-(3-Phenylpropyl)pyridine|DTXSID7042356|UNII-9F0BFM744F|DTXCID5022356|EINECS 218-300-7|.ALPHA.-(3-PHENYLPROPYL)PYRIDINE|2-(3-PHENYLPROPYL)PYRIDINE [FHFI]|218-300-7|jjjpntqyujpwgq-uhfffaoysa-n|2110-18-1|MFCD00191237|2-PHENYLPROPYLPYRIDINE|phenylpropylpyridine|3-phenylpropyl pyridine|2-(3-phenylpropyl)-pyridine|SCHEMBL272616|CHEMBL3186957|FEMA 3751|CHEBI:180819|Tox21_301773|AKOS000279623|2-(3-Phenylpropyl)pyridine, >=97%|SB52525|NCGC00255724-01|AS-59829|CAS-2110-18-1|CS-0199027|NS00013149|P1327|D92110|Q27272464",C1=CC=C(C=C1)CCCC2=CC=CC=N2
2-Hydroxy-5-(trifluoromethyl)pyridine,"33252-63-0|2-Hydroxy-5-(trifluoromethyl)pyridine|2(1H)-Pyridinone, 5-(trifluoromethyl)-|2H-5TFMP|5-(Trifluoromethyl)-2(1H)-pyridinone|1CCP81H07B|TRIFLUOROMETHYL)-2(1H)-PYRIDINONE, 5-(|627-625-7|2-Hydroxy-5-trifluoromethylpyridine|5-(trifluoromethyl)pyridin-2-ol|5-(trifluoromethyl)-1H-pyridin-2-one|5-(Trifluoromethyl)-2-pyridinol|MFCD00042315|5-(Trifluoromethyl)-2-pyridone|5-trifluoromethyl-pyridin-2-ol|79894-13-6|5-(Trifluoromethyl)pyridin-2(1H)-one|5-(trifluoromethyl)-1,2-dihydropyridin-2-one|5-(trifluoromethyl)pyridin-2-one|Maybridge1_006426|UNII-1CCP81H07B|5-trifluoromethyl-2-pyridone|5-trifluoromethylpyrid-2-one|5-trifluoromethyl-2-pyridinol|SCHEMBL525257|CHEMBL5424775|DTXSID8044387|Fluazifop-P-butyl metabolite 10|HMS559M02|5-(Trifluoromethyl)-2-pyridinone|JUVOJLXGVHWBEO-UHFFFAOYSA-N|YZUQZFUCRSLKEN-UHFFFAOYSA-N|5-(trifluoromethyl) pyridin-2-ol|5-trifluoromethyl-2(1h)-pyridone|CS-B0101|5-(trifloromethyl)-2(1H)-pyridone|BBL100558|CCG-49593|RB1047|STL554352|5-trifluoromethyl-2-(1h)-pyridinone|AKOS001054750|AKOS005145592|5-(trifluoromethyl)-2-(1H)-pyridone|AC-9476|FS-2555|BP-20272|SY007020|5-TRIFLUOROMETHYL-2-HYDROXYPYRIDINE|DB-021192|2-Hydroxy-5-(trifluoromethyl)pyridine, 97%|NS00016194|T2539|EN300-05018|5E-502|SR-01000639040-1|Q27252234|Z56910389|U4D",C1=CC(=O)NC=C1C(F)(F)F
4-(3-Phenylpropyl)pyridine,"4-(3-Phenylpropyl)pyridine|Pyridine, 4-(3-phenylpropyl)-|4-Phenylpropylpyridine|1-(4-Pyridyl)-3-phenylpropane|UNII-YW9Q68EK6B|DTXSID5044869|EINECS 218-159-1|DTXCID3024869|(4-(3-phenylpropyl)pyridine)|218-159-1|aqiiveisjbbucr-uhfffaoysa-n|2057-49-0|YW9Q68EK6B|1-Phenyl-3-(4-pyridyl)propane|MFCD00047458|4-(3-phenylpropyl) pyridine|SCHEMBL123539|CHEMBL3186973|1-phenyl-3-(4-pyridyl)-propane|4-(3-Phenylpropyl)pyridine, 97%|Tox21_301719|AKOS015892308|SB52325|NCGC00256083-01|LS-14290|CAS-2057-49-0|DB-045289|CS-0204624|NS00013150|P0218|E78825|Q26840907",C1=CC=C(C=C1)CCCC2=CC=NC=C2
Pyridine-2-aldoxime,"Pyridine-2-aldoxime|syn-2-Pyridinealdoxime|2-PYRIDINEALDOXIME|873-69-8|Picolinaldehyde oxime|2-Pyridinecarbaldehyde oxime|1193-96-0|Picolinaldoxime|2-Pyridinaldoxime|2-Pyridylaldoxime|Pyridine 2-aldoxime|Picolinaldehyde, oxime|Picolinealdehyde, oxime|Pyridine-2-carbaldehyde oxime|Pikolinealdoxime|Pyridine-2-aldoximate|2-Formylpyridine oxime|2-Hydroxyiminomethyl pyridine|syn-Pyridin-2-aldoxime|2-Formylpyridine ketoxime|2-Pyridinecarboxaldehyde, oxime|(E)-Picolinaldehyde oxime|P-2-A|(E)-2-Pyridinecarboxaldehyde oxime|NSC 66484|Pyridine-2-aldoxime, (E)-|Picolinaldehyde, oxime, (E)-|2-Pyridinecarboxaldehyde, oxime, [C(E)]-|2-Pyridinecarboxaldoxime|2WFO9N5MQE|2-Pyridinecarboxaldehyde, oxime, (E)-|CHEMBL77510|2-Pyridinecarboxaldehyde, oxime, (c(E))-|Pyridine-2-carboxaldoxime|P2A|(NE)-N-(pyridin-2-ylmethylidene)hydroxylamine|Pyrine-2-aldoximate|alpha-Picolinealdoxime|MFCD00006354|syn-Pyridine-2-aldoxime|CCRIS 7743|EINECS 212-849-6|UNII-2WFO9N5MQE|BRN 0109061|UNII-8PN0640Z70|(Z)-Pyridine-2-carbaldehyde oxime|pyridine-2-carbaldoxime|.alpha.-Picolinealdoxime|(E)-Picolinaldehydeoxime|(E)-N-hydroxy-1-(pyridin-2-yl)methanimine|5-21-07-00305 (Beilstein Handbook Reference)|SCHEMBL8384495|E-Pyridine-2-carboxaldehyde oxime|MTFJSAGADRTKCI-YVMONPNESA-N|syn-2-Pyridinealdoxime, >=99%|NSC66484|STR01308|AC8526|BDBM50458950|NSC-66484|STK325299|AKOS003625743|AKOS030241196|8PN0640Z70|FG-0440|2-Pyridinecarboxaldehyde,oxime,[c(Z)]-|W16238|EN300-1265402|AQ-405/40177765|Q27255699|F0001-0753|N-[(pyridin-2-yl)methylidene]hydroxylamine,(E)-N-[(pyridin-2-yl)methylidene]hydroxylamine",C1=CC=NC(=C1)/C=N/O
"1H-Pyrrolo(2,3-b)pyridine","7-Azaindole|1H-Pyrrolo[2,3-b]pyridine|1,7-Diazaindene|1H-PYRROLO(2,3-b)PYRIDINE|EINECS 205-981-0|UNII-QX4465NR9T|NSC 67063|NSC-67063|NSC-77951|DTXSID3075046|1H-PYRROLE(2,3-B)PYRIDINE|1H-Pyrrolo2,3-bpyridine|pyrrolo(2, 3-b)pyridine|DTXCID9037616|271-23-6|inchi=1/c7h6n2/c1-2-6-3-5-9-7(6)8-4-1/h1-5h,(h,8,9|mvxvyakcvdqrlw-uhfffaoysa-n|271-63-6|7H-Pyrrolo[2,3-b]pyridine|7-Aza-1-pyrindine|1,7-Dideazapurine|pyrrolo[2,3-b]pyridine|7H-Pyrrolo(2,3-b)pyridine|MFCD00005606|7-aza-indole|Pyrrolo(2,3-b)pyridine|89267-19-6|QX4465NR9T|WLN: T56 BM INJ|7-azaindol|pyrrolo[b]pyridine|7h-7-azaindole|GVH|7-Azaindole, 98%|pyrrolo[2,3-b]-pyridine|NCIOpen2_000707|SCHEMBL17837|1-H-pyrrolo[2,3-b]pyridine|1H-pyrrolo(2,3-b)-pyridine|CHEMBL389685|BDBM16223|CHEBI:194830|BCP26852|CS-B0516|NSC67063|NSC77951|STR01850|SC1771|STK503791|AKOS000446848|AC-1215|FA03428|PB32078|PS-4533|NCGC00188278-01|HY-50542|SY001940|DB-016106|DB-404343|NS00028264|P1117|EN300-25796|AT-051/43422779|Q27287542|F0001-0881|Z271099378|25247-73-8",C1=CC2=C(NC=C2)N=C1
